,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
527155,132.0,108.0,-1.0,2039.0,2040,1830,130.0,,0,0.0,2,4,-3.0,1827.0,IAD,810.0,0,14,0.0,1,0.0,TPA,0.0,N804BR,4.0,20.0,DH,0.0,2005
527223,130.0,104.0,0.0,1505.0,1505,1255,130.0,,0,0.0,3,5,0.0,1255.0,IAD,758.0,0,4,0.0,1,0.0,MCO,0.0,N803BR,8.0,18.0,DH,0.0,2005
527228,317.0,299.0,5.0,1606.0,1601,752,309.0,,0,0.0,1,24,-3.0,749.0,IAD,2400.0,0,208,0.0,1,0.0,SJC,0.0,N403UA,6.0,12.0,UA,0.0,2005
527293,78.0,46.0,-3.0,1842.0,1845,1735,70.0,,0,0.0,2,25,-11.0,1724.0,IAD,284.0,0,1289,0.0,1,0.0,BUF,0.0,N663BR,7.0,25.0,DH,0.0,2005
527376,171.0,151.0,39.0,136.0,57,2121,156.0,,0,4.0,3,19,24.0,2145.0,IAD,1172.0,0,446,20.0,1,15.0,DFW,0.0,N570AA,11.0,9.0,AA,0.0,2005
527379,97.0,73.0,0.0,1612.0,1612,1430,102.0,,0,0.0,6,15,5.0,1435.0,IAD,515.0,0,1257,0.0,1,0.0,SAV,0.0,N633BR,3.0,21.0,DH,0.0,2005
527452,99.0,73.0,-13.0,2052.0,2105,1915,110.0,,0,0.0,2,4,-2.0,1913.0,IAD,533.0,0,400,0.0,1,0.0,ATL,0.0,N916DE,4.0,22.0,DL,0.0,2005
527453,132.0,84.0,36.0,1726.0,1650,1502,108.0,,0,0.0,6,8,12.0,1514.0,IAD,413.0,0,981,0.0,1,24.0,BOS,0.0,N365UA,12.0,36.0,UA,12.0,2005
527497,289.0,277.0,-18.0,1537.0,1555,750,305.0,,0,0.0,4,6,-2.0,748.0,IAD,2408.0,0,222,0.0,1,0.0,OAK,0.0,N435UA,4.0,8.0,UA,0.0,2005
527557,83.0,61.0,44.0,848.0,804,630,94.0,,0,0.0,4,20,55.0,725.0,IAD,326.0,0,1728,44.0,1,0.0,BDL,0.0,N627BR,4.0,17.0,DH,0.0,2005
527633,80.0,49.0,-1.0,1850.0,1851,1740,71.0,,0,0.0,2,25,-10.0,1730.0,IAD,289.0,0,1601,0.0,1,0.0,ROC,0.0,N685BR,16.0,14.0,DH,0.0,2005
527652,246.0,227.0,-29.0,634.0,703,2330,273.0,,0,0.0,1,10,-2.0,2328.0,IAD,2066.0,0,1554,0.0,1,0.0,LAS,0.0,N493UA,8.0,11.0,UA,0.0,2005
527684,95.0,50.0,17.0,1902.0,1845,1735,70.0,,0,0.0,7,16,-8.0,1727.0,IAD,284.0,0,1289,0.0,1,17.0,BUF,0.0,N657BR,18.0,26.0,DH,0.0,2005
527742,64.0,38.0,1.0,801.0,800,700,60.0,,0,0.0,6,15,-3.0,657.0,IAD,183.0,0,1228,0.0,1,0.0,PIT,0.0,N701BR,5.0,21.0,DH,0.0,2005
